, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, tot_error, value, fit_error, dil_error, tot_error
S12, 0.529236, 0.050980, 0.043090, 0.066751, 1.68944e-18, 1.6274e-19, 1.37554e-19, 2.13085e-19
S18, 0.613425, 0.061948, 0.054966, 0.082818, 1.95819e-18, 1.97753e-19, 1.75464e-19, 2.64374e-19
S12S18, 0.568887, 0.039710, 0.034623, 0.052684, 1.81601e-18, 1.26763e-19, 1.10524e-19, 1.68179e-19
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, 0.038049, 0.051171, 0.013779, 0.052994, 38.049403, 51.170741, 13.779488, 52.993575
S18, -0.014986, 0.062597, 0.009135, 0.063261, -14.985637, 62.597431, 9.135332, 63.260514
S12S18, 0.008275, 0.039972, 0.007825, 0.040731, 8.274645, 39.971772, 7.825448, 40.730581
