  run  | subrun |         time          | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+-----------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 34805 |      0 | 2020-03-15 00:18:24   |       13.1282 |        18.206 |       12.0288 |            4.3721 |            1.9067 |             4.849 |            0.9009
 34805 |      1 | 2020-03-15 00:18:37   |       13.1265 |       18.2089 |       10.5672 |            3.8427 |            1.6692 |            4.2729 |            0.7825
 34805 |      2 | 2020-03-15 00:18:51   |       13.1221 |         18.21 |        11.197 |            4.0774 |            1.7681 |            4.5179 |            0.8336
 34805 |      3 | 2020-03-15 00:19:01   |       13.1301 |       18.2066 |        11.807 |            4.2945 |            1.8701 |            4.7598 |            0.8826
 34805 |      4 | 2020-03-15 00:19:09.5 |       13.1333 |       18.2117 |       12.2093 |            4.4408 |            1.9367 |            4.9179 |            0.9139
 34805 |      5 | 2020-03-15 00:19:19   |       13.1235 |        18.209 |       11.9095 |            4.3293 |            1.8867 |            4.8026 |            0.8909
 34805 |      6 | 2020-03-15 00:19:31   |        13.122 |       18.2066 |       12.0607 |            4.3837 |            1.9112 |            4.8635 |            0.9023
 34805 |      7 | 2020-03-15 00:19:44   |       13.0848 |        18.202 |       11.1666 |            4.0784 |            1.7518 |            4.5143 |            0.8221
 34805 |      8 | 2020-03-15 00:19:55   |       13.1278 |       18.2073 |       11.5245 |             4.192 |            1.8238 |            4.6486 |            0.8602
 34805 |      9 | 2020-03-15 00:20:04.5 |        13.123 |       18.2069 |       11.5763 |            4.2111 |            1.8311 |            4.6693 |            0.8648
 34805 |     10 | 2020-03-15 00:20:14   |        13.132 |       18.2098 |        12.037 |             4.378 |             1.908 |              4.85 |             0.901
 34805 |     11 | 2020-03-15 00:20:24   |       13.1255 |       18.2071 |       12.0317 |            4.3744 |            1.9064 |            4.8508 |            0.9001
 34805 |     12 | 2020-03-15 00:20:36.5 |       13.1226 |       18.2085 |       10.6694 |            3.8808 |            1.6854 |             4.313 |            0.7901
