  run  | subrun |         time          | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+-----------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 34734 |      0 | 2020-03-13 06:56:32.5 |       13.1298 |        18.207 |       12.3338 |            4.4815 |            1.9573 |            4.9693 |            0.9256
 34734 |      1 | 2020-03-13 06:56:45.5 |       13.1384 |       18.2033 |        11.095 |            4.0329 |            1.7565 |            4.4777 |            0.8279
 34734 |      2 | 2020-03-13 06:56:57.5 |       13.1266 |       18.2006 |       11.3845 |            4.1425 |            1.7998 |            4.5923 |            0.8499
 34734 |      3 | 2020-03-13 06:57:11   |       13.1305 |        18.206 |        11.964 |              4.35 |             1.896 |             4.822 |             0.896
 34734 |      4 | 2020-03-13 06:57:22   |       13.1325 |       18.2122 |       12.4549 |            4.5316 |            1.9762 |            5.0144 |            0.9327
 34734 |      5 | 2020-03-13 06:57:30.5 |       13.1277 |       18.2075 |       12.1576 |            4.4187 |            1.9277 |               4.9 |            0.9111
 34734 |      6 | 2020-03-13 06:57:41   |       13.1252 |       18.2061 |       10.7078 |             3.893 |            1.6923 |            4.3273 |            0.7953
 34734 |      7 | 2020-03-13 06:57:52   |       13.1342 |       18.2101 |       11.4908 |              4.18 |             1.819 |            4.6334 |            0.8584
 34734 |      8 | 2020-03-13 06:58:03.5 |       13.1258 |       18.2074 |       11.5664 |            4.2065 |              1.83 |             4.665 |            0.8649
 34734 |      9 | 2020-03-13 06:58:14   |       13.1335 |       18.2087 |        12.184 |              4.43 |             1.932 |             4.908 |             0.914
 34734 |     10 | 2020-03-13 06:58:22.5 |       13.1351 |       18.2121 |       12.1537 |            4.4186 |            1.9294 |            4.8953 |            0.9104
 34734 |     11 | 2020-03-13 06:58:33.5 |       13.1299 |       18.2076 |       12.2895 |            4.4662 |            1.9493 |            4.9525 |            0.9214
 34734 |     12 | 2020-03-13 06:58:46   |       13.1396 |        18.206 |       11.1571 |            4.0567 |            1.7664 |             4.502 |             0.832
 34734 |     13 | 2020-03-13 06:58:57   |       13.1294 |       18.2136 |       11.3656 |            4.1423 |            1.7922 |            4.5857 |            0.8454
 34734 |     14 | 2020-03-13 06:59:07   |       13.1285 |        18.207 |        11.788 |             4.288 |             1.866 |             4.752 |             0.882
 34734 |     15 | 2020-03-13 06:59:16.5 |       13.1121 |       18.2049 |       12.2216 |            4.4505 |            1.9333 |            4.9245 |            0.9134
 34734 |     16 | 2020-03-13 06:59:26.5 |       13.1357 |       18.2115 |       12.2207 |            4.4433 |             1.939 |            4.9225 |            0.9159
 34734 |     17 | 2020-03-13 06:59:39.5 |       13.1097 |       18.2066 |       10.4493 |            3.8001 |             1.647 |            4.2283 |            0.7739
 34734 |     18 | 2020-03-13 06:59:52   |       13.1037 |       18.2203 |       11.4968 |            4.1962 |            1.8104 |            4.6388 |            0.8513
 34734 |     19 | 2020-03-13 07:00:02   |       13.1299 |        18.207 |       11.7848 |            4.2862 |            1.8662 |            4.7501 |            0.8823
 34734 |     20 | 2020-03-13 07:00:12   |       13.1292 |       18.2066 |       11.9331 |             4.339 |            1.8902 |              4.81 |            0.8939
 34734 |     21 | 2020-03-13 07:00:22   |       13.1329 |       18.2112 |       12.1956 |            4.4355 |            1.9348 |             4.912 |            0.9134
 34734 |     22 | 2020-03-13 07:00:34   |       13.1298 |       18.2065 |       12.3095 |            4.4727 |            1.9532 |            4.9602 |            0.9233
 34734 |     23 | 2020-03-13 07:00:47   |       13.1335 |       18.2092 |        11.246 |             4.091 |              1.78 |             4.537 |             0.838
 34734 |     24 | 2020-03-13 07:00:57.5 |       13.1257 |       18.2074 |       11.4441 |            4.1686 |            1.8059 |            4.6191 |            0.8505
 34734 |     25 | 2020-03-13 07:01:07   |       13.1305 |       18.2075 |        11.859 |             4.313 |             1.878 |              4.78 |             0.888
 34734 |     26 | 2020-03-13 07:01:17   |       13.1496 |       18.2125 |       12.3327 |            4.4846 |            1.9577 |            4.9651 |            0.9252
 34734 |     27 | 2020-03-13 07:01:27   |        13.133 |       18.2095 |        12.179 |             4.428 |             1.932 |             4.906 |             0.913
 34734 |     28 | 2020-03-13 07:01:40   |       13.1122 |       18.2069 |       10.4456 |            3.7988 |            1.6472 |            4.2257 |             0.774
 34734 |     29 | 2020-03-13 07:01:52.5 |       13.0871 |       18.2127 |        11.256 |             4.101 |            1.7757 |            4.5426 |            0.8367
 34734 |     30 | 2020-03-13 07:02:02   |       13.1388 |       18.2094 |       11.6707 |            4.2453 |            1.8488 |            4.7041 |            0.8726
 34734 |     31 | 2020-03-13 07:02:12   |       13.1317 |        18.207 |        12.055 |            4.3831 |            1.9108 |            4.8575 |            0.9035
 34734 |     32 | 2020-03-13 07:02:22   |       13.1262 |       18.2075 |       11.9024 |            4.3283 |            1.8853 |            4.7978 |            0.8909
 34734 |     33 | 2020-03-13 07:02:34.5 |       13.1328 |       18.2056 |       12.4093 |            4.5095 |              1.97 |            4.9995 |            0.9302
 34734 |     34 | 2020-03-13 07:02:47.5 |       13.0768 |       18.1984 |       11.2201 |            4.0967 |             1.764 |            4.5319 |            0.8274
 34734 |     35 | 2020-03-13 07:02:58   |       13.1254 |       18.2059 |        11.397 |             4.145 |            1.8033 |             4.597 |            0.8516
 34734 |     36 | 2020-03-13 07:03:09.5 |       13.1319 |       18.2065 |       11.9992 |             4.364 |            1.9014 |            4.8348 |             0.899
 34734 |     37 | 2020-03-13 07:03:20   |       13.1151 |       18.2107 |       12.0164 |            4.3775 |            1.8961 |            4.8494 |            0.8934
 34734 |     38 | 2020-03-13 07:03:28   |       13.1272 |       18.2076 |       12.0852 |            4.3934 |            1.9158 |            4.8713 |            0.9047
 34734 |     39 | 2020-03-13 07:03:40.5 |       13.1147 |       18.2072 |       10.5073 |            3.8213 |            1.6572 |            4.2504 |            0.7784
 34734 |     40 | 2020-03-13 07:03:53.5 |       13.1247 |       18.2084 |       11.1508 |            4.0608 |            1.7592 |            4.5015 |            0.8294
 34734 |     41 | 2020-03-13 07:04:06   |       13.1304 |       18.2066 |       11.8343 |            4.3044 |            1.8748 |            4.7692 |            0.8859
 34734 |     42 | 2020-03-13 07:04:18.5 |       13.1311 |       18.2177 |       12.0304 |            4.3893 |            1.8953 |            4.8524 |            0.8932
 34734 |     43 | 2020-03-13 07:04:27   |       13.1285 |        18.207 |        12.103 |               4.4 |             1.918 |             4.878 |             0.907
 34734 |     44 | 2020-03-13 07:04:36.5 |       13.1214 |       18.2072 |       11.7306 |             4.264 |            1.8578 |            4.7317 |            0.8771
 34734 |     45 | 2020-03-13 07:04:47.5 |       13.1323 |       18.2075 |       11.2762 |            4.1032 |            1.7845 |            4.5487 |            0.8398
 34734 |     46 | 2020-03-13 07:04:58   |       13.1359 |       18.2074 |       11.4959 |            4.1803 |            1.8198 |            4.6366 |            0.8593
 34734 |     47 | 2020-03-13 07:05:08   |       13.1347 |       18.2058 |       11.8343 |            4.3027 |            1.8743 |            4.7704 |            0.8869
 34734 |     48 | 2020-03-13 07:05:18   |       13.0271 |        18.205 |        11.952 |            4.3578 |             1.884 |              4.82 |            0.8902
 34734 |     49 | 2020-03-13 07:05:28   |       13.1233 |       18.2065 |       12.0444 |            4.3795 |            1.9086 |            4.8544 |            0.9018
 34734 |     50 | 2020-03-13 07:05:41   |       13.1194 |       18.2088 |       10.6697 |            3.8809 |            1.6844 |            4.3131 |            0.7913
 34734 |     51 | 2020-03-13 07:05:54   |        13.126 |       18.2074 |       11.2383 |            4.0885 |            1.7772 |            4.5339 |            0.8388
 34734 |     52 | 2020-03-13 07:06:03.5 |       13.1288 |       18.2078 |       11.7001 |            4.2555 |            1.8528 |            4.7165 |            0.8753
 34734 |     53 | 2020-03-13 07:06:13.5 |        13.135 |       18.2098 |       12.0849 |            4.3951 |            1.9173 |            4.8673 |            0.9052
 34734 |     54 | 2020-03-13 07:06:23   |        13.127 |       18.2072 |            12 |             4.362 |             1.902 |             4.838 |             0.898
 34734 |     55 | 2020-03-13 07:06:36.5 |       13.1213 |       18.2085 |       11.7788 |            4.2824 |            1.8649 |            4.7511 |            0.8804
 34734 |     56 | 2020-03-13 07:06:49.5 |       13.1274 |       18.2087 |       11.1388 |             4.052 |            1.7613 |            4.4959 |            0.8297
 34734 |     57 | 2020-03-13 07:06:59   |       13.1295 |        18.207 |        11.583 |             4.213 |             1.834 |              4.67 |             0.866
 34734 |     58 | 2020-03-13 07:07:09.5 |       13.1334 |       18.2101 |       12.1344 |            4.4144 |            1.9241 |            4.8873 |            0.9086
 34734 |     59 | 2020-03-13 07:07:19   |       13.1255 |       18.2067 |        11.872 |             4.317 |              1.88 |             4.786 |             0.889
 34734 |     60 | 2020-03-13 07:07:29.5 |       13.1299 |       18.2063 |       12.1974 |            4.4335 |             1.934 |            4.9153 |            0.9146
 34734 |     61 | 2020-03-13 07:07:42.5 |       13.1364 |       18.2103 |       10.9712 |            3.9919 |            1.7361 |            4.4304 |            0.8128
 34734 |     62 | 2020-03-13 07:07:54.5 |       13.1289 |       18.2074 |       11.3424 |            4.1263 |             1.794 |            4.5755 |            0.8466
 34734 |     63 | 2020-03-13 07:08:06   |       13.1283 |       18.2052 |       11.8119 |             4.295 |             1.871 |            4.7621 |            0.8839
 34734 |     64 | 2020-03-13 07:08:17.5 |       13.1102 |       18.2018 |       11.8598 |            4.3189 |            1.8735 |            4.7833 |            0.8842
 34734 |     65 | 2020-03-13 07:08:26   |       13.1273 |        18.207 |       12.0838 |            4.3932 |            1.9153 |            4.8706 |            0.9047
 34734 |     66 | 2020-03-13 07:08:37.5 |       13.1147 |       18.2081 |       11.2933 |             4.106 |            1.7852 |            4.5607 |            0.8414
 34734 |     67 | 2020-03-13 07:08:49.5 |       13.1244 |       18.2092 |        10.969 |            3.9928 |            1.7324 |             4.428 |            0.8159
 34734 |     68 | 2020-03-13 07:08:59.5 |         13.13 |       18.2048 |       11.6364 |            4.2322 |            1.8423 |            4.6918 |            0.8701
 34734 |     69 | 2020-03-13 07:09:10   |       13.0876 |       18.2172 |        12.184 |            4.4365 |             1.928 |            4.9107 |            0.9089
 34734 |     70 | 2020-03-13 07:09:19.5 |       13.1296 |       18.2088 |       11.9323 |             4.338 |            1.8907 |            4.8096 |            0.8941
 34734 |     71 | 2020-03-13 07:09:29   |       13.1306 |       18.2068 |       12.2097 |            4.4376 |            1.9366 |            4.9205 |             0.915
 34734 |     72 | 2020-03-13 07:09:42   |       13.1329 |       18.2113 |       10.6749 |             3.881 |            1.6882 |            4.3129 |            0.7927
 34734 |     73 | 2020-03-13 07:09:55   |        13.129 |       18.2072 |        11.388 |             4.142 |             1.802 |             4.594 |              0.85
 34734 |     74 | 2020-03-13 07:10:05   |       13.1259 |       18.2062 |        11.616 |             4.225 |            1.8381 |            4.6841 |            0.8688
 34734 |     75 | 2020-03-13 07:10:15   |       13.1335 |       18.2085 |        12.186 |             4.432 |             1.932 |             4.908 |             0.914
 34734 |     76 | 2020-03-13 07:10:24.5 |       13.1277 |       18.2071 |       12.0502 |            4.3812 |            1.9096 |            4.8568 |            0.9026
