  run  | subrun |         time          | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+-----------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 34302 |      0 | 2020-03-01 15:59:16.5 |       13.1291 |       18.2082 |       11.7335 |            4.2676 |            1.8573 |            4.7313 |            0.8774
 34302 |      1 | 2020-03-01 15:59:26.5 |       13.1335 |       18.2098 |       12.1703 |            4.4258 |            1.9287 |            4.9035 |            0.9124
 34302 |      2 | 2020-03-01 15:59:36   |         13.13 |       18.2102 |       12.0468 |            4.3807 |             1.909 |            4.8561 |            0.9009
 34302 |      3 | 2020-03-01 15:59:48.5 |       13.1148 |       18.2073 |       11.5623 |            4.2015 |            1.8292 |            4.6677 |            0.8638
 34302 |      4 | 2020-03-01 16:00:01   |       13.1284 |        18.209 |       11.1321 |            4.0482 |            1.7617 |            4.4928 |            0.8294
 34302 |      5 | 2020-03-01 16:00:11.5 |        13.114 |       18.2053 |       11.3894 |            4.1482 |            1.7969 |            4.5973 |             0.847
 34302 |      6 | 2020-03-01 16:00:22   |        13.132 |       18.2088 |        12.026 |             4.373 |             1.906 |             4.847 |               0.9
 34302 |      7 | 2020-03-01 16:00:31.5 |       13.1352 |       18.2122 |       12.1144 |            4.4061 |            1.9207 |            4.8811 |            0.9065
 34302 |      8 | 2020-03-01 16:00:41   |       13.1263 |       18.2075 |        12.035 |            4.3751 |            1.9067 |             4.853 |            0.9001
 34302 |      9 | 2020-03-01 16:00:54.5 |       13.0514 |       18.2165 |        10.652 |            3.8854 |            1.6725 |            4.3114 |            0.7828
 34302 |     10 | 2020-03-01 16:01:08   |       13.1312 |       18.2104 |       11.3852 |            4.1421 |            1.8008 |            4.5936 |            0.8487
 34302 |     11 | 2020-03-01 16:01:18.5 |       13.1311 |       18.2066 |       11.8759 |            4.3193 |            1.8807 |            4.7881 |            0.8878
 34302 |     12 | 2020-03-01 16:01:29   |       13.1345 |         18.21 |       12.2458 |            4.4533 |            1.9415 |             4.933 |             0.918
 34302 |     13 | 2020-03-01 16:01:38   |        13.126 |       18.2085 |        11.989 |             4.359 |             1.899 |             4.834 |             0.897
 34302 |     14 | 2020-03-01 16:01:50   |       13.1085 |       18.2077 |        11.126 |             4.046 |             1.756 |             4.497 |             0.827
 34302 |     15 | 2020-03-01 16:02:03.5 |       13.1328 |       18.2095 |       11.3662 |            4.1349 |            1.7984 |            4.5847 |            0.8482
 34302 |     16 | 2020-03-01 16:02:13.5 |       13.1274 |       18.2082 |       11.5784 |            4.2124 |            1.8319 |            4.6699 |            0.8642
 34302 |     17 | 2020-03-01 16:02:23.5 |       13.1308 |       18.2065 |       11.9673 |            4.3514 |            1.8957 |            4.8244 |            0.8959
 34302 |     18 | 2020-03-01 16:02:33.5 |       13.1262 |       18.2088 |       11.9515 |            4.3459 |            1.8927 |             4.819 |             0.894
