, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, 0.573928, 0.101034, 0.042107, 0.006671, 0.109660, 1.7672e-18, 3.22523e-19, 1.34414e-19, 2.12961e-20, 3.5006e-19
S18, 0.278141, 0.117056, 0.022055, 0.006671, 0.119302, 8.22977e-19, 3.73667e-19, 7.0406e-20, 2.12961e-20, 3.80838e-19
S12S18, 0.440474, 0.077206, 0.023862, 0.006671, 0.081085, 1.34118e-18, 2.4646e-19, 7.61744e-20, 2.12961e-20, 2.58841e-19
