, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, -0.831738, 0.104169, 0.291591, 0.007581, 0.309732, -2.74248e-18, 3.3253e-19, 9.30822e-19, 2.42009e-20, 9.88732e-19
S18, -0.746167, 0.096358, 0.164566, 0.007581, 0.190852, -2.46932e-18, 3.07598e-19, 5.25332e-19, 2.42009e-20, 6.09242e-19
S12S18, -0.785379, 0.079777, 0.133761, 0.007581, 0.155929, -2.59449e-18, 2.54667e-19, 4.26995e-19, 2.42009e-20, 4.9776e-19
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, -0.102970, 0.101245, 0.087641, 0.134123, -102.970286, 101.245017, 87.641442, 134.123265
S18, 0.052777, 0.102901, 0.072569, 0.126145, 52.777112, 102.901427, 72.569184, 126.144619
S12S18, -0.021391, 0.080136, 0.040456, 0.090089, -21.391015, 80.136054, 40.456026, 90.088577
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, 0.698317, 0.081040, 0.081336, 0.007581, 0.115067, 2.1418e-18, 2.58698e-19, 2.59641e-19, 2.42009e-20, 3.6732e-19
S18, 0.692012, 0.078756, 0.071565, 0.007581, 0.106684, 2.12167e-18, 2.51406e-19, 2.28451e-19, 2.42009e-20, 3.40559e-19
S12S18, 0.696802, 0.056533, 0.056597, 0.007581, 0.080353, 2.13696e-18, 1.80465e-19, 1.80671e-19, 2.42009e-20, 2.56506e-19
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, 0.015188, 0.081428, 0.021803, 0.084637, 15.188288, 81.427995, 21.803248, 84.636721
S18, -0.059972, 0.079524, 0.020873, 0.082566, -59.971835, 79.523505, 20.872790, 82.565948
S12S18, -0.016606, 0.056934, 0.012319, 0.058742, -16.605972, 56.933585, 12.318789, 58.742321
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, 0.604354, 0.070805, 0.055295, 0.007581, 0.090157, 1.84184e-18, 2.26025e-19, 1.76514e-19, 2.42009e-20, 2.87802e-19
S18, 0.685293, 0.077948, 0.061276, 0.007581, 0.099439, 2.10022e-18, 2.48828e-19, 1.95606e-19, 2.42009e-20, 3.17432e-19
S12S18, 0.644806, 0.052540, 0.042212, 0.007581, 0.067822, 1.97097e-18, 1.67719e-19, 1.34751e-19, 2.42009e-20, 2.16502e-19
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, 0.014001, 0.071016, 0.013652, 0.072713, 14.001232, 71.015937, 13.652470, 72.712639
S18, -0.050808, 0.078545, 0.016949, 0.080709, -50.808233, 78.544784, 16.948902, 80.709498
S12S18, -0.010656, 0.052804, 0.008897, 0.054082, -10.656255, 52.804028, 8.896637, 54.082253
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, 0.613007, 0.071172, 0.049814, 0.007581, 0.087203, 1.86946e-18, 2.27196e-19, 1.59018e-19, 2.42009e-20, 2.78371e-19
S18, 0.750096, 0.085547, 0.064516, 0.007581, 0.107415, 2.30708e-18, 2.73084e-19, 2.05948e-19, 2.42009e-20, 3.42892e-19
S12S18, 0.680496, 0.055165, 0.040838, 0.007581, 0.069054, 2.08491e-18, 1.76099e-19, 1.30364e-19, 2.42009e-20, 2.20434e-19
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, 0.010016, 0.071443, 0.012362, 0.072899, 10.015714, 71.442523, 12.362351, 72.899495
S18, -0.071110, 0.086426, 0.018374, 0.088682, -71.109667, 86.425869, 18.374378, 88.682147
S12S18, -0.018470, 0.055522, 0.008707, 0.056710, -18.469699, 55.521938, 8.706889, 56.709524
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, 0.626763, 0.072052, 0.043378, 0.007581, 0.084443, 1.91338e-18, 2.30007e-19, 1.38472e-19, 2.42009e-20, 2.69562e-19
S18, 0.740118, 0.084493, 0.053792, 0.007581, 0.100450, 2.27523e-18, 2.69721e-19, 1.71716e-19, 2.42009e-20, 3.20658e-19
S12S18, 0.684008, 0.055368, 0.034677, 0.007581, 0.065769, 2.09611e-18, 1.76746e-19, 1.10696e-19, 2.42009e-20, 2.09949e-19
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, -0.005218, 0.072322, 0.010558, 0.073480, -5.218277, 72.321599, 10.557658, 73.480286
S18, -0.071930, 0.085539, 0.015188, 0.087207, -71.930152, 85.538514, 15.188409, 87.206650
S12S18, -0.024481, 0.055755, 0.007416, 0.056755, -24.481065, 55.755396, 7.416477, 56.755114
