
Processing VerticalAngleWidth.C...

 *** SIM *** ,, 
S0, 15.8783, 0.00595747
S12, 15.9425, 0.00511715
S18, 15.9402, 0.00515635
S12S18, 15.9413, 0.00363215
S0S12S18, 15.9244, 0.00310124

 *** DATA *** ,,

Run-1a,,
S12, 14.5572, 0.00430033
S18, 14.6268, 0.00450535
S12S18, 14.5906, 0.00311078

Run-1b,,
S12, 14.5834, 0.0036689
S18, 14.679, 0.00385205
S12S18, 14.6293, 0.00265675

Run-1c,,
S12, 14.5616, 0.00306565
S18, 14.6571, 0.00324311
S12S18, 14.607, 0.00222789

Run-1d,,
S12, 14.5927, 0.00219426
S18, 14.6897, 0.00234711
S12S18, 14.6383, 0.00160293
