Run-1a, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.580854, 0.069818, 0.036653, 0.029501, 0.008243, 0.084595, 1.75971e-18, 2.22875e-19, 1.17006e-19, 9.41735e-20, 2.63134e-20, 2.70045e-19
S18, 0.584025, 0.084858, 0.042431, 0.018419, 0.008243, 0.096997, 1.76984e-18, 2.70886e-19, 1.35449e-19, 5.87968e-20, 2.63134e-20, 3.09637e-19
S12S18, 0.600072, 0.054513, 0.028646, 0.027125, 0.008243, 0.067793, 1.82106e-18, 1.74016e-19, 9.14445e-20, 8.65881e-20, 2.63134e-20, 2.16411e-19
,,,,,,,,,,,,
Run-1d, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.472950, 0.050963, 0.028503, 0.023647, 0.009145, 0.063659, 1.40033e-18, 1.62684e-19, 9.09883e-20, 7.54871e-20, 2.91939e-20, 2.03213e-19
S18, 0.576807, 0.062550, 0.039249, 0.034178, 0.009145, 0.081882, 1.73187e-18, 1.99672e-19, 1.25292e-19, 1.09103e-19, 2.91939e-20, 2.61386e-19
S12S18, 0.524486, 0.039967, 0.024382, 0.028993, 0.009145, 0.055822, 1.56485e-18, 1.27583e-19, 7.78336e-20, 9.25514e-20, 2.91939e-20, 1.78195e-19
,,,,,,,,,,,,
Run-1d randomised, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.447900, 0.051013, 0.027179, 0.022634, 0.009145, 0.062745, 1.32037e-18, 1.62844e-19, 8.67621e-20, 7.22516e-20, 2.91939e-20, 2.00296e-19
S18, 0.574333, 0.062620, 0.039801, 0.034465, 0.009145, 0.082322, 1.72397e-18, 1.99897e-19, 1.27054e-19, 1.1002e-19, 2.91939e-20, 2.62789e-19
S12S18, 0.510059, 0.040009, 0.023783, 0.028585, 0.009145, 0.055382, 1.51879e-18, 1.27717e-19, 7.59219e-20, 9.1251e-20, 2.91939e-20, 1.7679e-19
,,,,,,,,,,,,
Run-1d randomised, delta_prime, , dMu [ecm], ,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.447974, 0.051013, 0.027187, 0.022630, 0.009145, 0.062747, 1.32061e-18, 1.62845e-19, 8.67854e-20, 7.22398e-20, 2.91939e-20, 2.00302e-19
S18, 0.574163, 0.062620, 0.039794, 0.034444, 0.009145, 0.082310, 1.72343e-18, 1.99898e-19, 1.2703e-19, 1.09954e-19, 2.91939e-20, 2.62751e-19
S12S18, 0.510040, 0.040009, 0.023781, 0.028576, 0.009145, 0.055376, 1.51873e-18, 1.27718e-19, 7.59152e-20, 9.12204e-20, 2.91939e-20, 1.76772e-19
