,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0, 1.23193, -0.0034237, 0.0209796, 0.173807, 0.0211021, -0.131545, 0.014914
S12, 1.33889, -0.00330006, 0.0213363, 0.15872, 0.0213993, -0.39541, 0.0151447
S18, 1.07422, -0.00157879, 0.0215164, 0.123597, 0.0215357, -0.344013, 0.015253
S12S18, 1.18992, -0.00236919, 0.0151514, 0.141472, 0.0151805, -0.369909, 0.0107477
S0S12S18, 1.11769, -0.00274963, 0.0122842, 0.15213, 0.0123241, -0.288816, 0.00872018
