******* Results ******* 
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, 0.102741, 0.0521976, 102.741, 52.1976
S18, 0.00921165, 0.0555558, 9.21165, 55.5558
S12S18, 0.0588036, 0.0380424, 58.8036, 38.0424
