******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.22968, 0.0380501, 0.00448287, 0.0275339, 0.00447352, -0.532977, 0.00317062
S18, 1.25783, 0.0348636, 0.00478534, 0.0200825, 0.00477468, -0.589543, 0.00338366
S12S18, 1.0941, 0.0365423, 0.00327164, 0.0241027, 0.0032646, -0.559576, 0.00231366
