******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.08869, 0.0371185, 0.00439438, 0.00858611, 0.00438889, 0.000774909, 0.00311087
S18, 1.01678, 0.0337933, 0.00470029, 0.00162426, 0.00469326, 0.000626458, 0.00332613
S12S18, 0.677193, 0.0355602, 0.00321006, 0.00531569, 0.00320569, 0.000709206, 0.00227205
