******* Results ******* 
, delta_prime, , dMu [ecm], ,
Station, value, error, value, error
S12, 0.693285, 0.071541, 2.21312e-18, 2.28375e-19
S18, 0.66876, 0.0753879, 2.13483e-18, 2.40655e-19
S12S18, 0.682138, 0.0518961, 2.17754e-18, 1.65664e-19
