, delta_prime, , dMu [ecm], ,
Station, value, fit_error, dil_error, Br_error, tot_error, value, fit_error, dil_error, Br_error, tot_error
S12, 0.680780, 0.077554, 0.011043, 0.007581, 0.078702, 2.08581e-18, 2.47568e-19, 3.52505e-20, 2.42009e-20, 2.51233e-19
S18, 0.688421, 0.082197, 0.011214, 0.007581, 0.083304, 2.1102e-18, 2.6239e-19, 3.57968e-20, 2.42009e-20, 2.65924e-19
S12S18, 0.684206, 0.056410, 0.011117, 0.007581, 0.057993, 2.09675e-18, 1.80075e-19, 3.54872e-20, 2.42009e-20, 1.85127e-19
