******* Results ******* 
, delta_prime, , dMu [ecm], ,
Station, value, error, value, error
S12, 0.401477, 0.0872753, 1.2816e-18, 2.78602e-19
S18, 0.488084, 0.0911484, 1.55807e-18, 2.90966e-19
S12S18, 0.442539, 0.0630421, 1.41268e-18, 2.01244e-19
