subruns ctag meanYErr
210 8.03766e+06 0.0101995
211 8.07591e+06 0.0101754
212 8.11528e+06 0.0101507
213 8.15405e+06 0.0101264
214 8.19267e+06 0.0101024
215 8.2286e+06 0.0100803
216 8.26755e+06 0.0100566
217 8.30619e+06 0.0100333
218 8.34544e+06 0.0100096
219 8.38472e+06 0.00998615
220 8.42338e+06 0.00996323
221 8.46302e+06 0.00993969
222 8.50189e+06 0.00991688
223 8.53844e+06 0.00989553
224 8.57781e+06 0.00987269
225 8.61602e+06 0.00985092
226 8.65456e+06 0.00982893
227 8.69336e+06 0.00980697
228 8.7323e+06 0.00978519
229 8.77069e+06 0.00976385
230 8.80875e+06 0.00974275
231 8.84654e+06 0.00972196
232 8.88533e+06 0.00970054
233 8.92452e+06 0.00967916
234 8.96318e+06 0.00965821
235 9.00142e+06 0.00963781
236 9.04061e+06 0.00961685
237 9.08018e+06 0.00959577
238 9.11726e+06 0.00957625
239 9.15526e+06 0.00955625
240 9.19409e+06 0.00953613
241 9.23351e+06 0.00951574
242 9.27226e+06 0.00949577
243 9.31122e+06 0.00947579
244 9.35035e+06 0.00945603
245 9.38848e+06 0.00943684
246 9.42502e+06 0.00941867
247 9.46362e+06 0.00939938
248 9.50237e+06 0.00938007
249 9.54148e+06 0.00936082
250 9.58105e+06 0.00934155
251 9.61958e+06 0.00932278
252 9.65814e+06 0.00930407
253 9.69694e+06 0.00928523
254 9.73328e+06 0.00926796
255 9.77202e+06 0.0092494
256 9.81045e+06 0.0092312
257 9.84876e+06 0.00921332
258 9.88817e+06 0.0091951
259 9.92702e+06 0.00917708
260 9.96606e+06 0.00915927
261 1.00048e+07 0.00914156
262 1.00416e+07 0.00912488
263 1.00807e+07 0.00910711
264 1.01194e+07 0.00908965
265 1.01578e+07 0.00907246
266 1.01968e+07 0.00905502
267 1.02355e+07 0.00903768
268 1.0275e+07 0.00902042
269 1.03143e+07 0.00900316
270 1.03501e+07 0.00898767
271 1.03894e+07 0.00897059
272 1.04285e+07 0.0089537
273 1.04672e+07 0.00893719
274 1.05065e+07 0.00892045
275 1.05451e+07 0.00890419
276 1.05832e+07 0.00888816
277 1.06219e+07 0.00887191
278 1.06592e+07 0.00885629
279 1.06976e+07 0.00884054
280 1.07365e+07 0.00882474
281 1.0775e+07 0.00880896
282 1.08144e+07 0.00879288
283 1.08532e+07 0.0087771
284 1.08925e+07 0.00876126
285 1.09318e+07 0.00874538
286 1.09681e+07 0.00873089
287 1.10069e+07 0.00871548
288 1.10459e+07 0.00870005
289 1.10848e+07 0.00868484
