******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.26193, 0.0526861, 0.00878545, -0.00253268, 0.00877161, 0.0321187, 0.0062156
S18, 0.988136, 0.021045, 0.00918978, 0.0127942, 0.0091709, -0.0353063, 0.0064991
S12S18, 1.04484, 0.0374972, 0.00635047, 0.00488902, 0.00633901, -0.000229379, 0.00449202
