******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.14924, 0.0251308, 0.00750046, -0.000729952, 0.00747665, 0.066558, 0.00530224
S18, 1.05466, 0.0375199, 0.0078568, -0.00704836, 0.00784043, 0.0166932, 0.00555614
S12S18, 1.3547, 0.0310724, 0.00542536, -0.00368232, 0.00541091, 0.042669, 0.00383594
