1524375000.00, 24.5387, 0.0043
1524378600.00, 24.5338, 0.0048
1524382200.00, 24.5307, 0.0040
1524385800.00, 24.5302, 0.0038
1524389400.00, 24.5285, 0.0051
1524393000.00, 24.5287, 0.0046
1524396600.00, 24.5321, 0.0052
1524400200.00, 24.5421, 0.0052
1524403800.00, 24.5567, 0.0069
1524407400.00, 24.5563, 0.0065
1524411000.00, 24.5750, 0.0067
1524414600.00, 24.5872, 0.0055
1524418200.00, 24.5969, 0.0058
1524421800.00, 24.6130, 0.0064
1524425400.00, 24.6307, 0.0081
1524429000.00, 24.6503, 0.0081
1524432600.00, 24.6684, 0.0068
1524436200.00, 24.6864, 0.0063
1524439800.00, 24.7005, 0.0066
1524443400.00, 24.7103, 0.0048
1524447000.00, 24.7120, 0.0047
1524450600.00, 24.7190, 0.0044
1524454200.00, 24.7202, 0.0046
1524457800.00, 24.7228, 0.0049
1524461400.00, 24.7226, 0.0044
1524465000.00, 24.7273, 0.0048
1524468600.00, 24.7313, 0.0055
1524472200.00, 24.7374, 0.0051
1524475800.00, 24.7397, 0.0041
1524479400.00, 24.7408, 0.0038
1524483000.00, 24.7428, 0.0048
1524486600.00, 24.7466, 0.0054
1524490200.00, 24.7495, 0.0043
1524493800.00, 24.7456, 0.0069
1524497400.00, 24.7600, 0.0068
1524501000.00, 24.7808, 0.0082
1524504600.00, 24.8028, 0.0094
1524508200.00, 24.8305, 0.0091
1524511800.00, 24.8552, 0.0082
1524515400.00, 24.8820, 0.0108
1524519000.00, 24.9090, 0.0084
1524522600.00, 24.9348, 0.0093
1524526200.00, 24.9561, 0.0058
1524529800.00, 24.9717, 0.0045
1524533400.00, 24.9802, 0.0043
1524537000.00, 24.9874, 0.0044
1524540600.00, 24.9908, 0.0041
1524544200.00, 24.9951, 0.0053
1524547800.00, 24.9978, 0.0041
1524551400.00, 24.9990, 0.0050
1524555000.00, 25.0042, 0.0056
1524558600.00, 25.0098, 0.0034
1524562200.00, 25.0134, 0.0051
1524565800.00, 25.0180, 0.0044
1524569400.00, 25.0230, 0.0050
1524573000.00, 25.0260, 0.0052
1524576600.00, 25.0334, 0.0051
1524580200.00, 25.0490, 0.0080
1524583800.00, 25.0706, 0.0080
1524587400.00, 25.0985, 0.0087
1524591000.00, 25.1256, 0.0093
1524594600.00, 25.1570, 0.0100
1524598200.00, 25.1881, 0.0103
1524601800.00, 25.2197, 0.0104
1524605400.00, 25.2540, 0.0117
1524609000.00, 25.2857, 0.0102
1524612600.00, 25.3115, 0.0094
1524616200.00, 25.3314, 0.0044
1524619800.00, 25.3425, 0.0053
1524623400.00, 25.3476, 0.0043
1524627000.00, 25.3480, 0.0040
1524630600.00, 25.3462, 0.0052
1524634200.00, 25.3433, 0.0047
1524637800.00, 25.3308, 0.0063
1524641400.00, 25.3239, 0.0058
1524645000.00, 25.3130, 0.0061
1524648600.00, 25.3003, 0.0045
1524652200.00, 25.2975, 0.0054
1524655800.00, 25.2812, 0.0109
1524659400.00, 25.2483, 0.0099
1524663000.00, 25.2433, 0.0248
1524666600.00, 25.2082, 0.0088
1524670200.00, 25.1844, 0.0105
1524673800.00, 25.1581, 0.0081
1524677400.00, 25.1341, 0.0105
1524681000.00, 25.1071, 0.0084
1524684600.00, 25.0885, 0.0066
1524688200.00, 25.0761, 0.0058
1524691800.00, 25.0595, 0.0105
1524695400.00, 25.0403, 0.0092
1524699000.00, 25.0121, 0.0116
1524702600.00, 24.9717, 0.0158
1524706200.00, 24.9328, 0.0113
1524709800.00, 24.8976, 0.0109
1524713400.00, 24.8624, 0.0130
1524717000.00, 24.8226, 0.0111
1524720600.00, 24.7870, 0.0115
1524724200.00, 24.7464, 0.0116
1524727800.00, 24.7082, 0.0137
1524731400.00, 24.6643, 0.0128
1524735000.00, 24.6263, 0.0114
1524738600.00, 24.5897, 0.0124
1524742200.00, 24.5560, 0.0093
1524745800.00, 24.5412, 0.0055
1524749400.00, 24.5364, 0.0068
1524753000.00, 24.5308, 0.0044
1524756600.00, 24.5347, 0.0059
1524760200.00, 24.5423, 0.0052
1524763800.00, 24.5500, 0.0040
1524767400.00, 24.5672, 0.0080
1524771000.00, 24.5858, 0.0059
1524774600.00, 24.6026, 0.0065
1524778200.00, 24.6177, 0.0082
1524781800.00, 24.6467, 0.0106
1524785400.00, 24.6750, 0.0094
1524789000.00, 24.7007, 0.0068
1524792600.00, 24.7189, 0.0057
1524796200.00, 24.7328, 0.0058
1524799800.00, 24.7431, 0.0062
1524803400.00, 24.7525, 0.0056
1524807000.00, 24.7616, 0.0052
1524810600.00, 24.7734, 0.0048
1524814200.00, 24.7815, 0.0053
1524817800.00, 24.7903, 0.0054
1524821400.00, 24.7915, 0.0057
1524825000.00, 24.8020, 0.0044
1524828600.00, 24.8126, 0.0059
1524832200.00, 24.8330, 0.0076
1524835800.00, 24.8558, 0.0102
1524839400.00, 24.8830, 0.0075
1524843000.00, 24.9070, 0.0080
1524846600.00, 24.9248, 0.0071
1524850200.00, 24.9475, 0.0083
1524853800.00, 24.9752, 0.0111
1524857400.00, 25.0090, 0.0123
1524861000.00, 25.0440, 0.0091
1524864600.00, 25.0611, 0.0056
1524868200.00, 25.0662, 0.0060
1524871800.00, 25.0589, 0.0062
1524875400.00, 25.0536, 0.0048
1524879000.00, 25.0521, 0.0052
1524882600.00, 25.0469, 0.0050
1524886200.00, 25.0409, 0.0055
1524889800.00, 25.0388, 0.0041
1524893400.00, 25.0352, 0.0050
1524897000.00, 25.0317, 0.0049
1524900600.00, 25.0274, 0.0054
1524904200.00, 25.0207, 0.0044
1524907800.00, 25.0148, 0.0050
1524911400.00, 25.0100, 0.0048
1524915000.00, 25.0066, 0.0057
1524918600.00, 25.0135, 0.0057
1524922200.00, 25.0302, 0.0096
