run,y,ey
38653,74.5823,0.0362789
38654,74.6183,0.0226242
38655,74.5718,0.0485717
38656,74.6196,0.0116088
38657,74.6951,0.0610364
38660,74.6037,0.0130008
38661,74.6128,0.0178108
38662,74.6146,0.0116717
38663,74.6196,0.0225717
38664,74.5794,0.0323811
38665,74.6242,0.0130575
38666,74.6126,0.0121985
38667,74.6008,0.0131241
38668,74.6683,0.0130872
38669,74.6709,0.0133166
38670,74.6637,0.0120369
38672,74.5606,0.0456124
38673,74.6225,0.135526
38674,74.6612,0.0134359
38675,74.6734,0.0125435
38676,74.6574,0.0135656
38677,74.6744,0.0122557
38678,74.6605,0.0122961
38679,74.6786,0.0143336
38680,74.6704,0.0235706
38684,74.6871,0.0553468
38685,74.6705,0.0142139
38686,74.7243,0.0272911
38688,74.6869,0.0114353
38689,74.7038,0.0151623
38690,74.678,0.0118986
38691,74.6968,0.0127651
38692,74.6985,0.0232613
38693,74.6873,0.0122139
38694,74.6901,0.0144682
38696,74.6889,0.0113713
38697,74.6865,0.0113657
38698,74.7409,0.0242741
38699,74.7048,0.0115348
38700,74.6897,0.0126321
38701,74.6912,0.0121776
38702,74.6856,0.0139557
38703,74.697,0.0139672
38704,74.6643,0.0126456
38705,74.6705,0.0124376
38706,74.6489,0.0117267
38707,74.683,0.0124748
38708,74.6686,0.0119719
38709,74.6791,0.0159717
38710,74.7539,0.0425766
38712,74.6684,0.0107387
38713,74.6579,0.0135756
38714,74.6783,0.0133851
38715,74.709,0.0115457
38716,74.6999,0.0224197
38718,69.4362,16.7549
38754,75.3218,0
38757,79.253,34.9536
38758,106.372,0
38759,76.2691,0
38762,61.4438,0
38763,117.79,0
38764,67.0842,0.683869
38765,74.7477,0.0561509
38767,74.6743,0.0945049
38768,74.4246,0.216619
38769,74.7632,0.0496338
38770,74.6517,0.0582437
38771,74.6986,0.0139191
38772,74.7262,0.0139312
38773,74.7036,0.0159274
38774,74.6679,0.0186643
38775,74.677,0.0243079
38776,111.441,4.92088
38777,25.6453,0
38778,90.4693,18.9338
38779,135.155,0
38780,100.209,0
38784,112.141,0
38786,64.516,22.4753
38787,116.428,0
38788,84.2202,3.18569
38789,84.3816,4.75796
38790,83.95,5.9548
38791,74.7673,0.123005
38793,74.6875,0.129373
38794,74.7521,0.0471959
38795,74.694,0.013704
38796,74.715,0.0138955
38797,74.7356,0.0130082
38798,74.7069,0.0128617
38799,74.6901,0.0143343
38800,74.7006,0.0183454
38806,90.3594,1.04604
38811,73.3237,0.142061
38850,88.4051,0.569844
38855,73.1746,0.101711
38881,74.5346,0.0610821
38882,74.5777,0.0285739
38883,74.6907,0.0111065
38884,74.6575,0.0110974
38885,74.673,0.0112702
38886,74.6842,0.0124788
38887,74.6427,0.0221075
38888,74.6846,0.0114964
38889,74.641,0.0109748
38890,74.7059,0.013003
38891,74.681,0.0109108
38892,74.6645,0.0118334
38893,74.7027,0.0132042
38894,74.6736,0.0145464
38895,74.645,0.0113538
38896,74.647,0.0136544
38897,74.667,0.0188306
38900,74.6585,0.0114719
38901,74.6708,0.0122561
38902,74.6482,0.0146211
38903,74.6343,0.012179
38904,74.6633,0.0120142
38905,74.6553,0.0115672
38906,74.6641,0.0116551
38907,74.6995,0.0132997
38908,74.6991,0.0124582
38910,74.6924,0.0115126
38911,74.6912,0.0120723
38912,74.6267,0.0560974
38913,74.694,0.0127556
38914,74.7387,0.0204513
38951,74.8134,0.0114736
38952,74.8042,0.0117922
38953,74.8227,0.0123905
38954,74.4728,0.136819
38955,74.797,0.0430741
38957,74.8016,0.0107418
38958,74.8167,0.0117424
38959,74.7932,0.0126546
38960,74.7947,0.0121166
38961,74.8103,0.0116856
38962,74.7727,0.01219
38963,74.7191,0.0330383
38964,74.7942,0.0133545
38965,74.8251,0.0187921
38966,74.7944,0.010861
38967,74.7884,0.0123441
38968,74.7756,0.0119653
38969,74.7645,0.0313726
38970,74.7991,0.0110055
38971,74.7557,0.0126338
38972,74.8093,0.0656878
38973,74.8446,0.0321025
38974,74.7087,0.0408279
39031,100.956,0
39055,137.5,0
39060,74.8097,0.0134617
39061,74.7876,0.0116182
39062,74.7865,0.0119971
39063,74.8032,0.0116891
39064,74.798,0.0116944
39065,74.7829,0.0120043
39066,74.7832,0.0129389
39067,74.7777,0.0128761
39068,74.7905,0.0127633
39069,74.7882,0.0113715
39070,74.8194,0.0115841
39071,74.7815,0.0122825
39072,74.8028,0.0113253
39073,74.7755,0.0122196
39074,74.8009,0.0137485
39075,74.8021,0.0126877
39076,74.8146,0.1358
39078,74.7715,0.0133849
39079,74.7691,0.0139904
39080,74.7832,0.0119814
39081,74.8032,0.0120049
39082,74.8108,0.0121605
39083,74.8184,0.0123943
39084,74.8209,0.0115618
39085,74.8558,0.017485
39086,74.814,0.0118629
39087,74.8138,0.0111955
39089,74.6969,0.134879
39090,74.8133,0.0114565
39091,74.8081,0.0115272
39092,74.8262,0.0126109
39093,74.7769,0.0119076
39094,74.8043,0.0116476
39095,74.7933,0.0362942
39096,74.8037,0.0117846
39097,74.8074,0.0119153
39098,74.816,0.0135909
39099,74.779,0.0118707
39100,74.8338,0.0115259
