x [MeV],ex [MeV],y [mrad],ey [mrad]
100,100,-0.0675208,0.0330729
300,100,0.0285406,0.0212591
500,100,0.115036,0.0162994
700,100,0.23418,0.0134056
900,100,0.266765,0.0110384
1100,100,0.257846,0.00948609
1300,100,0.266951,0.00844503
1500,100,0.242707,0.0076289
1700,100,0.223774,0.00699914
1900,100,0.214887,0.00656007
2100,100,0.188177,0.00623272
2300,100,0.165343,0.00599995
2500,100,0.123672,0.00580281
2700,100,0.10356,0.0056971
2900,100,0.0434645,0.00585748
