******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 2.62995, 0.0421144, 0.00615209, 0.0115929, 0.00613793, -0.0877063, 0.00435073
S18, 1.27602, 0.0477144, 0.00649646, 0.0117808, 0.00648102, -0.136486, 0.0045932
S12S18, 2.21791, 0.0447664, 0.00446708, 0.0117447, 0.00445658, -0.110914, 0.00315873
