******* Results ******* 
, delta_prime, , Bz/By [ppm], ,
Station, value, error, value, error
S12, 0.037607, 0.0715987, 37.607, 71.5987
S18, 0.0174829, 0.0754196, 17.4829, 75.4196
S12S18, 0.0281242, 0.051929, 28.1242, 51.929
