******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 2.59781, 0.0421634, 0.00614072, 0.00382706, 0.00613015, 0.00230093, 0.00434613
S18, 1.29265, 0.0484806, 0.00649475, 0.0023743, 0.00648417, 0.00186941, 0.00459567
S12S18, 2.34762, 0.0451601, 0.00446219, 0.0031329, 0.00445463, 0.00209424, 0.00315777
