******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 0.939445, 0.053052, 0.00878686, 0.000707161, 0.00877325, -0.188959, 0.00621677
S18, 1.27794, 0.020382, 0.0091913, 0.0147697, 0.00917217, -0.256876, 0.00650016
S12S18, 1.16889, 0.037381, 0.00635156, 0.00754453, 0.00634009, -0.221526, 0.00449286
