******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.29247, 0.0506166, 0.00860947, -0.0013988, 0.0086042, -0.00143551, 0.00609718
S18, 0.994039, 0.0204854, 0.00902109, 0.0095077, 0.0090113, 0.000890753, 0.0063858
S12S18, 1.0583, 0.036153, 0.00622834, 0.00382682, 0.00622311, -0.000324235, 0.00440991
