******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.07872, 0.0381439, 0.00448238, 0.0247718, 0.0044726, -0.311989, 0.00317008
S18, 1.04355, 0.0342099, 0.00478467, 0.0187582, 0.00477404, -0.367279, 0.00338316
S12S18, 0.671994, 0.0362801, 0.00327122, 0.022011, 0.00326404, -0.337988, 0.00231329
