UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0S12S18_, 1.27047, 0.164968, 0.00615994, -0.0213428, 0.00618513, -0.181624, 0.00437588
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57988, 0.21525, 0.0105537, -0.00470055, 0.0106081, -0.0335485, 0.00750276
S12_, 1.28884, 0.198597, 0.0106726, -0.0315581, 0.0107119, -0.297865, 0.00758009
S18_, 1.27103, 0.166583, 0.010784, -0.0273292, 0.0108206, -0.216722, 0.00765631
S12S18_, 1.45571, 0.182731, 0.00758588, -0.029438, 0.00761275, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.19371, 0.00615994, -0.0213314, 0.00618513, -0.181623, 0.00437588
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57987, 0.186508, 0.0105537, -0.00470944, 0.0106081, -0.0335488, 0.00750276
S12_, 1.28884, 0.169855, 0.0106726, -0.0315668, 0.0107119, -0.297866, 0.00758009
S18_, 1.27103, 0.137841, 0.010784, -0.027338, 0.0108206, -0.216722, 0.00765631
S12S18_, 1.45572, 0.153989, 0.00758588, -0.0294469, 0.00761275, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.164968, 0.00615994, -0.0213428, 0.00618513, -0.181624, 0.00437588
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57988, 0.21525, 0.0105537, -0.00470055, 0.0106081, -0.0335485, 0.00750276
S12_, 1.28884, 0.198597, 0.0106726, -0.0315581, 0.0107119, -0.297865, 0.00758009
S18_, 1.27103, 0.166583, 0.010784, -0.0273292, 0.0108206, -0.216722, 0.00765631
S12S18_, 1.45571, 0.182731, 0.00758588, -0.029438, 0.00761275, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.19371, 0.00615994, -0.0213314, 0.00618513, -0.181623, 0.00437588
