******* Results ******* 
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S12, 1.196, 0.0236603, 0.007352, 0.000152896, 0.00733445, -0.00258304, 0.00520206
S18, 1.10544, 0.0362254, 0.00771327, -0.00674968, 0.00770347, -0.00299485, 0.00545931
S12S18, 1.41925, 0.0296724, 0.00532193, -0.00315135, 0.00531199, -0.00276216, 0.00376615
