, delta_prime, , dMu [ecm], ,
Station, value, error, value, error
S12, 0.595089, 0.0521751, 1.89966e-18, 1.66555e-19
S18, 0.590953, 0.0555192, 1.88645e-18, 1.7723e-19
S12S18, 0.59308, 0.0380221, 1.89324e-18, 1.21375e-19
